IPO,Status,Price,GMP(₹),Est Listing,Fire Rating,IPO Size,Lot,Open,Close,BoA Dt,Listing,GMP Updated
Arisinfra Solutions IPO,Upcoming,NA,101,--,,2.86 Cr Shares,TBD,,,,,21-Jan 21:29
H.M. Electro Mech BSE SME,Upcoming,75,--,75 (0.00%),,₹27.74 Cr,1600,24-Jan,28-Jan,29-Jan,31-Jan,21-Jan 21:26
GB Logistics BSE SME,Upcoming,102,--,102 (0.00%),,₹25.07 Cr,1200,24-Jan,28-Jan,29-Jan,31-Jan,21-Jan 21:23
CLN Energy BSE SME,Upcoming,250,--,250 (0.00%),,₹72.30 Cr,600,23-Jan,27-Jan,28-Jan,30-Jan,21-Jan 21:25
Denta Water IPO,Upcoming,294,165,459 (56.12%),,₹220.50 Cr,50,22-Jan,24-Jan,27-Jan,29-Jan,21-Jan 21:32
Rexpro Enterprises NSE SME,Upcoming,145,--,145 (0.00%),,₹53.65 Cr,1000,22-Jan,24-Jan,27-Jan,29-Jan,21-Jan 21:24
CapitalNumbers Infotech BSE SME,Open (Sub:12.16x),263,115,378 (43.73%),,₹169.37 Cr,400,20-Jan,22-Jan,23-Jan,27-Jan,21-Jan 21:32
EMA Partners NSE SME,Close (Sub:221.06x),124,65,189 (52.42%),,₹76.01 Cr,1000,17-Jan,21-Jan,22-Jan,24-Jan,21-Jan 21:25
Landmark Immigration BSE SME,Close (Sub:72.84x) Allotted,72,15,87 (20.83%),,₹40.32 Cr,1600,16-Jan,20-Jan,21-Jan,23-Jan,21-Jan 21:32
Stallion India IPO,Close (Sub:188.32x) Allotted,90,44,134 (48.89%),,₹199.45 Cr,165,16-Jan,20-Jan,21-Jan,23-Jan,21-Jan 21:25
Rikhav Securities BSE SME,Close (Sub:307x) Allotted,86,93,179 (108.14%),,₹88.82 Cr,1600,15-Jan,17-Jan,20-Jan,22-Jan,21-Jan 21:28
Kabra Jewels NSE SME,Close (Sub:356.02x),128,121,249 (94.53%),,₹40.00 Cr,1000,15-Jan,17-Jan,20-Jan,22-Jan,21-Jan 21:28
Laxmi Dental IPO,[email protected],428,145,573 (33.88%),,₹698.06 Cr,33,13-Jan,15-Jan,16-Jan,20-Jan,20-Jan 8:26
Barflex Polyfilms NSE SME,[email protected],60,13,73 (21.67%),,₹39.42 Cr,2000,10-Jan,15-Jan,16-Jan,20-Jan,20-Jan 8:28
Sat Kartar Shopping NSE SME,[email protected],81,40,121 (49.38%),,₹33.80 Cr,1600,10-Jan,14-Jan,15-Jan,17-Jan,17-Jan 8:30
B.R.Goyal BSE SME,[email protected],135,12,147 (8.89%),,₹85.21 Cr,1000,7-Jan,9-Jan,10-Jan,14-Jan,14-Jan 8:28
Capital Infra Trust Invit IPO,[email protected],100,--,100 (0.00%),,₹1578.00 Cr,150,7-Jan,9-Jan,14-Jan,17-Jan,17-Jan 8:25
Avax Apparels And Ornaments BSE SME,[email protected],70,20,90 (28.57%),,₹1.92 Cr,2000,7-Jan,9-Jan,10-Jan,14-Jan,14-Jan 8:26
Delta Autocorp NSE SME,[email protected],130,105,235 (80.77%),,₹54.60 Cr,1000,7-Jan,9-Jan,10-Jan,14-Jan,14-Jan 8:30
Quadrant Future Tek IPO,[email protected],290,120,410 (41.38%),,₹290.00 Cr,50,7-Jan,9-Jan,10-Jan,14-Jan,14-Jan 8:32
Standard Glass Lining IPO,[email protected],140,50,190 (35.71%),,₹410.05 Cr,107,6-Jan,8-Jan,9-Jan,13-Jan,13-Jan 8:30
Indobell Insulation BSE SME,[email protected],46,39,85 (84.78%),,₹10.14 Cr,3000,6-Jan,8-Jan,9-Jan,13-Jan,13-Jan 8:24
Fabtech Technologies BSE SME,[email protected],85,105,190 (123.53%),,₹27.74 Cr,1600,3-Jan,7-Jan,8-Jan,10-Jan,10-Jan 8:27
